"","Name","is_w","is_u","is_b","is_r","is_g","is_a","is_l"
"1","_____","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"2","Abandoned Sarcophagus","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"3","Abandon Hope","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"4","Abattoir Ghoul","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"5","Abbey Gargoyles","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"6","Abbey Griffin","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"7","Abbey Matron","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"8","Aberrant Researcher","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"9","Perfected Form","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"10","Abeyance","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"11","Abjure","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"12","Abolish","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"13","Aboroth","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"14","Aboshan, Cephalid Emperor","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"15","About Face","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"16","Abrade","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"17","Abrupt Decay","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"18","Absolute Grace","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"19","Absolute Law","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"20","Absorb","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21","Abuna Acolyte","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"22","Abyssal Gatekeeper","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"23","Abyssal Horror","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"24","Abyssal Hunter","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"25","Abyssal Nocturnus","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"26","Abyssal Persecutor","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"27","Abyssal Specter","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"28","Abzan Advantage","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"29","Abzan Banner","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE"
"30","Abzan Battle Priest","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"31","Abzan Beastmaster","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"32","Abzan Falconer","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"33","Abzan Guide","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"34","Abzan Kin-Guard","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"35","Abzan Skycaptain","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"36","Academy Journeymage","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"37","Academy Researchers","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"38","Academy Ruins","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE"
"39","Accelerate","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"40","Accelerated Mutation","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"41","Accomplished Automaton","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"42","Accorder Paladin","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"43","Accorder's Shield","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"44","Accumulated Knowledge","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"45","Accursed Centaur","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"46","Accursed Spirit","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"47","Acidic Sliver","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"48","Acidic Soil","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"49","Acid Web Spider","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"50","Acolyte of Xathrid","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"51","Acorn Catapult","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"52","Acquire","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"53","Acridian","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"54","Acrobatic Maneuver","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"55","Act of Heroism","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"56","Act of Treason","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"57","Act on Impulse","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"58","Adamant Will","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"59","Adamaro, First to Desire","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"60","Adaptive Automaton","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"61","Adaptive Snapjaw","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"62","Adarkar Sentinel","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"63","Adarkar Unicorn","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"64","Adarkar Valkyrie","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"65","Adarkar Windform","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"66","Addle","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"67","Adeliz, the Cinder Wind","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"68","Admiral Beckett Brass","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"69","Admiral's Order","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"70","Ad Nauseam","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"71","Adriana, Captain of the Guard","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"72","Adun Oakenshield","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE"
"73","Advanced Hoverguard","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"74","Advanced Stitchwing","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"75","Advance Scout","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"76","Advantageous Proclamation","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"77","Advent of the Wurm","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"78","Adventuring Gear","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"79","Adventurous Impulse","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"80","Advocate of the Beast","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"81","Aegis Automaton","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"82","Aegis of the Gods","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"83","Aegis of the Meek","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"84","Aeolipile","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"85","Aerathi Berserker","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"86","Aerial Caravan","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"87","Aerial Guide","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"88","Aerial Maneuver","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"89","Aerial Predation","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"90","Aerial Responder","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"91","Aerial Volley","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"92","Aerie Mystics","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"93","Aerie Worshippers","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"94","Aeronaut Admiral","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"95","Aeronaut Tinkerer","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"96","Aesthir Glider","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"97","Aether Adept","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"98","Aether Barrier","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"99","Aetherborn Marauder","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"100","Aether Burst","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"101","Aether Charge","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"102","Aether Flash","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"103","Aetherflux Reservoir","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"104","Aether Gale","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"105","Aethergeode Miner","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"106","Aether Hub","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"107","Aetherize","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"108","Aetherplasm","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"109","Aether Shockwave","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"110","Aether Snap","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"111","Aethersnatch","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"112","Aether Spellbomb","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"113","Aetherspouts","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"114","Aether Sting","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"115","Aether Storm","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"116","Aether Tide","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"117","Aethertide Whale","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"118","Aether Tradewinds","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"119","Aetherwind Basker","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"120","Affa Guard Hound","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"121","Affa Protector","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"122","Afflict","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"123","Afflicted Deserter","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"124","Afterlife","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"125","Aftershock","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"126","Ageless Entity","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"127","Agent of Erebos","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"128","Agent of Horizons","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"129","Agent of Masks","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"130","Agent of Shauku","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"131","Agent of Stromgald","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"132","Agent of the Fates","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"133","Aggravate","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"134","Aggression","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"135","Aggressive Mining","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"136","Aggressive Urge","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
