"","Flavor"
"1","{1}: This card's flavor text becomes the flavor text of your choice. (This ability doesn't work because it's flavor text, not rules text (but neither does this reminder text, so you figure it out).)"
"2","Although long since dead, the banished dissenters finally took their vengeance."
"3","As Gerrard's form vanished into the maw of trees, Hanna mouthed a silent plea, mourning a crushed dream."
"4","Death took his humanity but not his skill with the knife."
"5","""Though Serra has not been seen for twenty years, her gargoyles still watch over our city and punish the guilty."" —Gulsen, abbey matron"
"6","""The darkness crawls with vampires and ghouls, but we are not without allies."" —Mikaeus, the Lunarch"
"7","""The Matrons are kindly souls, but don't ask one for an ale."" —Halina, Dwarven Trader"
"8","""Metamorphosis is a process."" —Laboratory notes"
"9","The final pages of the experiment log were blank. Investigators found it abandoned on a desk in the researcher's lab, open, the pages flipping in the wind from a shattered window."
"10","""I'm too modest a wizard to reveal the full extent of my abilities."" —Ertai, wizard adept"
"11","Mirri's hackles rose as Ertai continued expounding his virtues. ""If that arrogant brat doesn't shut up soon,"" she growled to herself, ""I'm going to have to kill him."""
"12","As war raged on, the young mages became more direct in their tactics, often at great cost."
"13","The Weatherlight banked sharply as the colossal beast rose up to crush the lone rider. ""My bet's on the dirt,"" Gerrard said flatly."
"14","""No one can fight the tide forever."""
"15","The overconfident are the most vulnerable."
"16","The desert is a voracious beast, devouring both flesh and stone."
"17","The Izzet quickly suspended their policy of lifetime guarantees."
"18","In pursuit of Urza, the Phyrexians sent countless foul legions into Serra's realm. Though beaten back, they left it tainted with uncleansable evil."
"19","The strength of law is unwavering. It is an iron bar in a world of water."
"20","""Your presumption is your downfall."""
"21","""You can break nothing I cannot mend."""
"22","""There are two ways for me to pass this gate. One involves you remaining conscious."" —Gerrard of the Weatherlight"
"23","""I dreamt of it once. Now I fear it dreams of me."" —Tolarian scholar"
"24","Some smiles show cheer; some merely show teeth."
"25","""I fear to keep an open mind, for there are those who would use it as a door to my soul."" —Voka Schlak, Mauzam Asylum inmate, diary"
"26","His slaves crave death more than they desire freedom. He denies them both."
"27","It rides to a chorus of whispers that are more felt than heard."
"28","""To survive, you must seize every opportunity."" —Daghatar the Adamant"
"29","Stone to endure, roots to remember."
"30","""Wherever I walk, the ancestors walk too."""
"31","His beasts move the great siege towers of the Abzan across the endless sands."
"32","The fastest way across the dunes is above."
"33","""These roads are desolate and changeable. Follow me, or die in the wastes."""
"34","""The Mardu rush headlong toward extinction. We ensure the longevity of our clan by protecting our territory, not rampaging through it."""
"35","""A tempest is coming. Turn your faces toward the wind!"""
"36","""We don't choose who comes here. We choose how long they stay."""
"37","They brandish their latest theories as warriors would wield weapons."
"38","Its secrets once wrought the greatest artifice ever known. Now crabs loot the rubble to decorate their shells."
"39","""I've seen lightning move slower."" —Nomad sentry"
"40","Its food just got a lot smaller and its stomach a lot bigger."
"41","Was it just lonely, or was some form of evolution inevitable?"
"42","""I fight for the suns, the surface, and everything in between."""
"43","An Auriok shield is polished to a mirror finish even on the inside, enabling its bearer to watch foes ahead and behind."
"44","""I have seen and heard much here. There are secrets within secrets. Let me show you."" —Takara, to Eladamri"
"45","""The Cabal mocks the natural order. For its minions, death is just a pause between duties."" —Kamahl, druid acolyte"
"46","Many have heard the slither of dragging armor and the soft squelch of its voice. But only its victims ever meet its icy gaze."
"47","The first sliver burst against the cave wall, and others piled in behind to deepen the new tunnel."
"48","Phyrexia had tried to take Urza's soul. He was relieved that Shiv tried to claim only his soles."
"49","Its web is an excellent source of found copper for the daring or the stupid."
"50","Like all priests, she gives her blessings only to those truly worthy of them."
"51","The Kalonian word for ""ammunition"" is the same as the word for ""bait."""
"52","Sometimes ""innovation"" means ""stealing another's secret before anyone else can."""
"53","The elves of Argoth were trained to ride these creatures, even when their mounts traveled upside-down."
"54","Renegades find ever more creative ways to work around the Consulate's aether regulations."
"55","""On every plane, there are those who run toward danger."" —Gideon Jura"
"56","""Rage courses in every heart, yearning to betray its rational prison."" —Sarkhan Vol"
"57","""You don't want to know what happens after I put on the goggles."""
